From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
ath:AT3G63410	A0A178VHS6	unreviewed	A0A178VHS6_ARATH	(thale cress) hypothetical protein (VTE3)	AXX17_At3g57680 AN1_LOCUS16733 AT9943_LOCUS14389 C24_LOCUS16604	Arabidopsis thaliana (Mouse-ear cress)	338
hsa:91012	Q8N5B7	reviewed	CERS5_HUMAN	Ceramide synthase 5 (CerS5) (LAG1 longevity assurance homolog 5) (Sphingoid base N-palmitoyltransferase CERS5) (EC 2.3.1.291) (Sphingosine N-acyltransferase CERS5) (EC 2.3.1.24)	CERS5 LASS5	Homo sapiens (Human)	392
hsa:1357	P15085	reviewed	CBPA1_HUMAN	Carboxypeptidase A1 (EC 3.4.17.1)	CPA1 CPA	Homo sapiens (Human)	419
hsa:9319	Q15645	reviewed	PCH2_HUMAN	Pachytene checkpoint protein 2 homolog (Human papillomavirus type 16 E1 protein-binding protein) (16E1-BP) (HPV16 E1 protein-binding protein) (Thyroid hormone receptor interactor 13) (Thyroid receptor-interacting protein 13) (TR-interacting protein 13) (TRIP-13)	TRIP13 PCH2	Homo sapiens (Human)	432
hsa:4129	P27338	reviewed	AOFB_HUMAN	Amine oxidase [flavin-containing] B (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	MAOB	Homo sapiens (Human)	520
hsa:10349	Q8WWZ4	reviewed	ABCAA_HUMAN	ATP-binding cassette sub-family A member 10 (EC 7.6.2.-)	ABCA10	Homo sapiens (Human)	1543
mtu:Rv0194	O53645	reviewed	MDREP_MYCTU	Multidrug efflux ATP-binding/permease protein Rv0194 (EC 7.6.2.-)	Rv0194 RVBD_0194 P425_00203	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1194
ath:AT1G63020	Q9LQ02	reviewed	NRPD1_ARATH	DNA-directed RNA polymerase IV subunit 1 (DNA-directed RNA polymerase D subunit 1) (AtNRPD1a) (Nuclear RNA polymerase D 1a) (EC 2.7.7.6) (Protein RNA-DIRECTED DNA METHYLATION DEFECTIVE 3) (Protein SILENCING DEFECTIVE 4) (Protein SILENCING MOVEMENT DEFICIENT 2) (RNA polymerase IV subunit 1a) (POL IV 1a)	NRPD1 NRPD1a RMD3 RPD1 SDE4 SMD2 At1g63020 F16M19.19 F16P17.19	Arabidopsis thaliana (Mouse-ear cress)	1453
hsa:50484	Q7LG56	reviewed	RIR2B_HUMAN	Ribonucleoside-diphosphate reductase subunit M2 B (EC 1.17.4.1) (TP53-inducible ribonucleotide reductase M2 B) (p53-inducible ribonucleotide reductase small subunit 2-like protein) (p53R2)	RRM2B P53R2	Homo sapiens (Human)	351
hsa:339318	Q2M3W8	reviewed	ZN181_HUMAN	Zinc finger protein 181 (HHZ181)	ZNF181	Homo sapiens (Human)	571
hsa:339318	B4DM69	unreviewed	B4DM69_HUMAN	cDNA FLJ52631, highly similar to Zinc finger protein 181		Homo sapiens (Human)	248
hsa:57599	Q8TAF3	reviewed	WDR48_HUMAN	WD repeat-containing protein 48 (USP1-associated factor 1) (WD repeat endosomal protein) (p80)	WDR48 KIAA1449 UAF1	Homo sapiens (Human)	677
hsa:57599	A0A024R2L1	unreviewed	A0A024R2L1_HUMAN	WD repeat-containing protein 48 (USP1-associated factor 1)	WDR48 hCG_19029	Homo sapiens (Human)	677
hsa:1147	O15111	reviewed	IKKA_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK-1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16)	CHUK IKKA TCF16	Homo sapiens (Human)	745
hsa:29968	Q9Y617	reviewed	SERC_HUMAN	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	PSAT1 PSA	Homo sapiens (Human)	370
ath:AT4G17360	F4JP46	reviewed	PURU2_ARATH	Formyltetrahydrofolate deformylase 2, mitochondrial (EC 3.5.1.10)	PURU2 At4g17360 dl4715c FCAALL.417	Arabidopsis thaliana (Mouse-ear cress)	328
ath:AT4G17360	A0A178V5S5	unreviewed	A0A178V5S5_ARATH	(thale cress) hypothetical protein	AXX17_At4g20410 AN1_LOCUS18438 AT9943_LOCUS15877 C24_LOCUS18329	Arabidopsis thaliana (Mouse-ear cress)	328
eco:b2927	P0A9B6	reviewed	E4PD_ECOLI	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)	epd gapB b2927 JW2894	Escherichia coli (strain K12)	339
hsa:6169	P63173	reviewed	RL38_HUMAN	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	RPL38	Homo sapiens (Human)	70
hsa:57121	Q9H1C0	reviewed	LPAR5_HUMAN	Lysophosphatidic acid receptor 5 (LPA receptor 5) (LPA-5) (G-protein coupled receptor 92) (G-protein coupled receptor 93)	LPAR5 GPR92 GPR93	Homo sapiens (Human)	372
hsa:57121	Q5KU18	unreviewed	Q5KU18_HUMAN	G protein-coupled receptor 92, isoform CRA_a (G-protein coupled receptor) (Lysophosphatidic acid receptor 5) (cDNA, FLJ93614, Homo sapiens G protein-coupled receptor 92 (GPR92), mRNA)	KPG_010 GPR92 LPAR5 hCG_2039707	Homo sapiens (Human)	372
hsa:4698	Q16718	reviewed	NDUA5_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	NDUFA5	Homo sapiens (Human)	116
sce:YDR011W	P32568	reviewed	SNQ2_YEAST	Protein SNQ2	SNQ2 YDR011W YD8119.16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1501
hsa:3055	P08631	reviewed	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526
vg:2703406	D3YPC9	unreviewed	D3YPC9_HHV1	Envelope glycoprotein J (GJ) (US5)	US5 HHV1gp094 hmpv214_0063	Human herpesvirus 1 (HHV-1) (Human herpes simplex virus 1)	92
vg:2703406	P06480	reviewed	GJ_HHV11	Envelope glycoprotein J	gJ US5	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	92
vg:2703406	G8HBH9	unreviewed	G8HBH9_HHV11	Envelope glycoprotein J	US5	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	92
hsa:83594	Q9BQG2	reviewed	NUD12_HUMAN	NAD-capped RNA hydrolase NUDT12 (DeNADding enzyme NUDT12) (EC 3.6.1.-) (NADH pyrophosphatase NUDT12) (EC 3.6.1.22) (Nucleoside diphosphate-linked moiety X motif 12) (Nudix motif 12)	NUDT12	Homo sapiens (Human)	462
atu:Atu3166	A9CES5	reviewed	TAGK_AGRFC	Tagatose kinase (EC 2.7.1.101)	Atu3166	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	329
hsa:10282	O15155	reviewed	BET1_HUMAN	BET1 homolog (hBET1) (Golgi vesicular membrane-trafficking protein p18)	BET1	Homo sapiens (Human)	118
hsa:10282	Q53XK0	unreviewed	Q53XK0_HUMAN	BET1 homolog (S. cerevisiae) (BET1 homolog (S. cerevisiae), isoform CRA_d) (cDNA, FLJ94635, Homo sapiens BET1 homolog (S. cerevisiae) (BET1), mRNA)	BET1 hCG_19198 tcag7.252	Homo sapiens (Human)	118
eco:b0067	P31549	reviewed	THIP_ECOLI	Thiamine transport system permease protein ThiP	thiP yabK b0067 JW0066	Escherichia coli (strain K12)	536
vg:5176150	Q69140	reviewed	EBNA6_EBVA8	Epstein-Barr nuclear antigen 6 (EBNA-6) (EBV nuclear antigen 6) (Epstein-Barr nuclear antigen 3C) (EBNA-3C) (EBV nuclear antigen 3C) (Epstein-Barr nuclear antigen 4B) (EBNA-4B) (EBV nuclear antigen 4B)	EBNA6 BERF3-BERF4	Epstein-Barr virus (strain AG876) (HHV-4) (Human herpesvirus 4)	1069
hsa:51176	Q9UJU2	reviewed	LEF1_HUMAN	Lymphoid enhancer-binding factor 1 (LEF-1) (T cell-specific transcription factor 1-alpha) (TCF1-alpha)	LEF1	Homo sapiens (Human)	399
hsa:51176	Q659G9	unreviewed	Q659G9_HUMAN	Uncharacterized protein DKFZp586H0919	DKFZp586H0919	Homo sapiens (Human)	69
hsa:2566	P18507	reviewed	GBRG2_HUMAN	Gamma-aminobutyric acid receptor subunit gamma-2 (GABA(A) receptor subunit gamma-2)	GABRG2	Homo sapiens (Human)	475
hsa:27175	Q9NRH3	reviewed	TBG2_HUMAN	Tubulin gamma-2 chain (Gamma-2-tubulin)	TUBG2	Homo sapiens (Human)	451
hsa:2152	P13726	reviewed	TF_HUMAN	Tissue factor (TF) (Coagulation factor III) (Thromboplastin) (CD antigen CD142)	F3	Homo sapiens (Human)	295
hsa:5367	P20382	reviewed	MCH_HUMAN	Pro-MCH [Cleaved into: Neuropeptide-glycine-glutamic acid (NGE) (Neuropeptide G-E); Neuropeptide-glutamic acid-isoleucine (NEI) (Neuropeptide E-I); Melanin-concentrating hormone (MCH)]	PMCH MCH	Homo sapiens (Human)	165
hsa:27123	Q9UBU2	reviewed	DKK2_HUMAN	Dickkopf-related protein 2 (Dickkopf-2) (Dkk-2) (hDkk-2)	DKK2 UNQ682/PRO1316	Homo sapiens (Human)	259
stm:STM2035	P29946	reviewed	CBIA_SALTY	Cobyrinate a,c-diamide synthase (EC 6.3.5.11) (Cobyrinic acid a,c-diamide synthetase) [Cleaved into: Cobyrinate a,c-diamide synthase, N-terminally processed]	cbiA STM2035	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	459
ag:AAC43462	Q46338	reviewed	SOXG_CORS1	Sarcosine oxidase subunit gamma (Sarcosine oxidase subunit G) (EC 1.5.3.1)	soxG	Corynebacterium sp. (strain P-1)	203
hsa:50614	Q9HCQ5	reviewed	GALT9_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 9 (EC 2.4.1.41) (Polypeptide GalNAc transferase 9) (GalNAc-T9) (pp-GaNTase 9) (Protein-UDP acetylgalactosaminyltransferase 9) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 9)	GALNT9	Homo sapiens (Human)	603
hsa:50614	J3KNN1	unreviewed	J3KNN1_HUMAN	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	GALNT9	Homo sapiens (Human)	603
hsa:60489	Q9HC16	reviewed	ABC3G_HUMAN	DNA dC->dU-editing enzyme APOBEC-3G (EC 3.5.4.38) (APOBEC-related cytidine deaminase) (APOBEC-related protein) (ARCD) (APOBEC-related protein 9) (ARP-9) (CEM-15) (CEM15) (Deoxycytidine deaminase) (A3G)	APOBEC3G MDS019	Homo sapiens (Human)	384
hsa:102725035	O75022	reviewed	LIRB3_HUMAN	Leukocyte immunoglobulin-like receptor subfamily B member 3 (LIR-3) (Leukocyte immunoglobulin-like receptor 3) (CD85 antigen-like family member A) (Immunoglobulin-like transcript 5) (ILT-5) (Monocyte inhibitory receptor HL9) (CD antigen CD85a)	LILRB3 ILT5 LIR3	Homo sapiens (Human)	631
hsa:170960	Q8TF20	reviewed	ZN721_HUMAN	Zinc finger protein 721	ZNF721 KIAA1982	Homo sapiens (Human)	911
hsa:414325	P81534	reviewed	D103A_HUMAN	Beta-defensin 103 (Beta-defensin 3) (BD-3) (DEFB-3) (HBD3) (hBD-3) (Defensin, beta 103) (Defensin-like protein)	DEFB103A BD3 DEFB103 DEFB3; DEFB103B	Homo sapiens (Human)	67
hsa:414325	A0A894JZ42	unreviewed	A0A894JZ42_HUMAN	Beta-defensin 3		Homo sapiens (Human)	67
sao:SAOUHSC_00392	Q9RN32	unreviewed	Q9RN32_STAAU	Exotoxin 1 (Exotoxin type C) (Superantigen-like protein) (Superantigen-like protein SSL7)	set1 speC_1 speC_2 ACR67_10065 BG726_05040 C7M54_02985 DD547_00389 EIH03_12885 EP54_13105 EQ90_08330 GO723_00470 GO814_10380 GO942_09080 GQX37_01535 NCTC10702_00794 NCTC13131_05888 SAHC1335_01253 SAMEA103891221_01440 SAMEA103891415_02060 SAMEA2077334_01101 SAMEA2078260_01593 SAMEA2078588_01343 SAMEA2079520_00581 SAMEA2080344_01403 SAMEA2080903_01158 SAMEA2081063_00554 SAMEA4008575_01616 SAMEA70146418_01352	Staphylococcus aureus	231
sao:SAOUHSC_00392	Q2G2Y0	reviewed	SSL7_STAA8	Staphylococcal superantigen-like 7	ssl7 SAOUHSC_00392	Staphylococcus aureus (strain NCTC 8325 / PS 47)	231
hsa:27339	Q9UMS4	reviewed	PRP19_HUMAN	Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Nuclear matrix protein 200) (PRP19/PSO4 homolog) (hPso4) (RING-type E3 ubiquitin transferase PRP19) (Senescence evasion factor)	PRPF19 NMP200 PRP19 SNEV	Homo sapiens (Human)	504
hsa:153201	Q495M3	reviewed	S36A2_HUMAN	Proton-coupled amino acid transporter 2 (Proton/amino acid transporter 2) (Solute carrier family 36 member 2) (Transmembrane domain rich protein 1) (Tramdorin-1)	SLC36A2 PAT2 TRAMD1	Homo sapiens (Human)	483
hsa:123720	Q8TF30	reviewed	WHAMM_HUMAN	WASP homolog-associated protein with actin, membranes and microtubules (WAS protein homology region 2 domain-containing protein 1) (WH2 domain-containing protein 1)	WHAMM KIAA1971 WHDC1	Homo sapiens (Human)	809
hsa:4245	P26572	reviewed	MGAT1_HUMAN	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (GNT-I) (GlcNAc-T I)	MGAT1 GGNT1 GLCT1 GLYT1 MGAT	Homo sapiens (Human)	445
hsa:6884	Q15543	reviewed	TAF13_HUMAN	Transcription initiation factor TFIID subunit 13 (Transcription initiation factor TFIID 18 kDa subunit) (TAF(II)18) (TAFII-18) (TAFII18)	TAF13 TAF2K TAFII18	Homo sapiens (Human)	124
hsa:6716	P31213	reviewed	S5A2_HUMAN	3-oxo-5-alpha-steroid 4-dehydrogenase 2 (EC 1.3.1.22) (5 alpha-SR2) (SR type 2) (Steroid 5-alpha-reductase 2) (S5AR 2) (Type II 5-alpha reductase)	SRD5A2	Homo sapiens (Human)	254
mmu:16638	Q60654	reviewed	KLRA7_MOUSE	Killer cell lectin-like receptor 7 (Lymphocyte antigen 49g) (Ly-49g) (T-cell surface glycoprotein Ly-49G)	Klra7 Ly-49g Ly49-g Ly49g Ly49g4	Mus musculus (Mouse)	280
mmu:16638	F8WJ94	unreviewed	F8WJ94_MOUSE	Killer cell lectin-like receptor, subfamily A, member 7	Klra7	Mus musculus (Mouse)	280
hsa:1729	O60610	reviewed	DIAP1_HUMAN	Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1)	DIAPH1 DIAP1	Homo sapiens (Human)	1272
hsa:1729	Q6URC4	unreviewed	Q6URC4_HUMAN	Diaphanous 1		Homo sapiens (Human)	1272
hsa:8341	Q99877	reviewed	H2B1N_HUMAN	Histone H2B type 1-N (Histone H2B.d) (H2B/d)	H2BC15 H2BFD HIST1H2BN	Homo sapiens (Human)	126
hsa:8491	Q8IVH8	reviewed	M4K3_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 3 (EC 2.7.11.1) (Germinal center kinase-related protein kinase) (GLK) (MAPK/ERK kinase kinase kinase 3) (MEK kinase kinase 3) (MEKKK 3)	MAP4K3 RAB8IPL1	Homo sapiens (Human)	894
hsa:8491	A8K602	unreviewed	A8K602_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)		Homo sapiens (Human)	894
hsa:8491	B3KMM5	unreviewed	B3KMM5_HUMAN	cDNA FLJ11491 fis, clone HEMBA1001921, highly similar to Mitogen-activated protein kinase kinase kinase kinase 3		Homo sapiens (Human)	168
hsa:9454	Q9NSC5	reviewed	HOME3_HUMAN	Homer protein homolog 3 (Homer-3)	HOMER3	Homo sapiens (Human)	361
hsa:196513	Q8IZD4	reviewed	DCP1B_HUMAN	mRNA-decapping enzyme 1B (EC 3.6.1.62)	DCP1B	Homo sapiens (Human)	617
syn:slr1881	P73650	unreviewed	P73650_SYNY3	High-affinity branched-chain amino acid transport ATP-binding protein BraG	livF	Synechocystis sp. (strain PCC 6803 / Kazusa)	240
hsa:10911	O95399	reviewed	UTS2_HUMAN	Urotensin-2 (Urotensin II) (U-II) (UII)	UTS2 UNQ525/PRO1068	Homo sapiens (Human)	124
hsa:8140	Q01650	reviewed	LAT1_HUMAN	Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (CD98 light chain) (Integral membrane protein E16) (E16) (L-type amino acid transporter 1) (hLAT1) (Solute carrier family 7 member 5) (y+ system cationic amino acid transporter)	SLC7A5 CD98LC LAT1 MPE16	Homo sapiens (Human)	507
hsa:116512	Q8TDS7	reviewed	MRGRD_HUMAN	Mas-related G-protein coupled receptor member D (Beta-alanine receptor) (G-protein coupled receptor TGR7)	MRGPRD MRGD	Homo sapiens (Human)	321
hsa:91445	Q96GF1	reviewed	RN185_HUMAN	E3 ubiquitin-protein ligase RNF185 (EC 2.3.2.27) (RING finger protein 185)	RNF185	Homo sapiens (Human)	192
ecg:E2348C_3934	Q05129	reviewed	SCTB_ECO27	Type 3 secretion system translocon protein SctB (T3SS translocon protein SctB) (Protein EaeB)	sctB eaeB espB E2348C_3934	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	321
hsa:57689	Q9HCJ2	reviewed	LRC4C_HUMAN	Leucine-rich repeat-containing protein 4C (Netrin-G1 ligand) (NGL-1)	LRRC4C KIAA1580 NGL1 UNQ292/PRO331	Homo sapiens (Human)	640
hsa:57689	Q4JIV9	unreviewed	Q4JIV9_HUMAN	Netrin-G1 ligand splice variant 4	NGL1	Homo sapiens (Human)	640
hsa:57689	Q4JIW0	unreviewed	Q4JIW0_HUMAN	Netrin-G1 ligand splice variant 3	NGL1	Homo sapiens (Human)	640
hsa:23436	P08861	reviewed	CEL3B_HUMAN	Chymotrypsin-like elastase family member 3B (EC 3.4.21.70) (Elastase IIIB) (Elastase-3B) (Protease E)	CELA3B ELA3B	Homo sapiens (Human)	270
eco:b2206	P33937	reviewed	NAPA_ECOLI	Periplasmic nitrate reductase (EC 1.9.6.1)	napA yojC yojD yojE b2206 JW2194	Escherichia coli (strain K12)	828
bsu:BSU39700	P26935	reviewed	IOLG_BACSU	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase (EC 1.1.1.18) (EC 1.1.1.369) (Myo-inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase) (MI 2-dehydrogenase/DCI 3-dehydrogenase)	iolG idh BSU39700 E83G	Bacillus subtilis (strain 168)	344
hsa:26013	Q9Y468	reviewed	LMBL1_HUMAN	Lethal(3)malignant brain tumor-like protein 1 (H-l(3)mbt) (H-l(3)mbt protein) (L(3)mbt-like) (L(3)mbt protein homolog) (L3MBTL1)	L3MBTL1 KIAA0681 L3MBT L3MBTL	Homo sapiens (Human)	840
hsa:152	P18825	reviewed	ADA2C_HUMAN	Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)	ADRA2C ADRA2L2 ADRA2RL2	Homo sapiens (Human)	462
hsa:152	Q4W594	unreviewed	Q4W594_HUMAN	Alpha-2C adrenergic receptor (Alpha-2C adrenoreceptor)	ADRA2C	Homo sapiens (Human)	462
hsa:1593	Q02318	reviewed	CP27A_HUMAN	Sterol 26-hydroxylase, mitochondrial (EC 1.14.15.15) (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 26-hydroxylase) (Cytochrome P-450C27/25) (Cytochrome P450 27) (Sterol 27-hydroxylase) (Vitamin D(3) 25-hydroxylase)	CYP27A1 CYP27	Homo sapiens (Human)	531
hsa:5606	P46734	reviewed	MP2K3_HUMAN	Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)	MAP2K3 MEK3 MKK3 PRKMK3 SKK2	Homo sapiens (Human)	347
hsa:5606	Q6FI23	unreviewed	Q6FI23_HUMAN	MAP2K3 protein (Mitogen-activated protein kinase kinase 3 isoform B) (cDNA, FLJ96569, Homo sapiens mitogen-activated protein kinase kinase 3 (MAP2K3),transcript variant B, mRNA)	MAP2K3	Homo sapiens (Human)	347
hsa:2583	Q00973	reviewed	B4GN1_HUMAN	Beta-1,4 N-acetylgalactosaminyltransferase 1 (EC 2.4.1.92) ((N-acetylneuraminyl)-galactosylglucosylceramide) (GM2/GD2 synthase) (GalNAc-T)	B4GALNT1 GALGT SIAT2	Homo sapiens (Human)	533
hsa:2583	B4DSP5	unreviewed	B4DSP5_HUMAN	Beta-1,4-N-acetyl-galactosaminyltransferase 1 (cDNA FLJ60142, highly similar to Beta-1,4 N-acetylgalactosaminyltransferase 1)	B4GALNT1	Homo sapiens (Human)	304
hsa:26007	Q3LXA3	reviewed	TKFC_HUMAN	Triokinase/FMN cyclase (Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)) [Includes: ATP-dependent dihydroxyacetone kinase (DHA kinase) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase) (Triokinase) (Triose kinase); FAD-AMP lyase (cyclizing) (EC 4.6.1.15) (FAD-AMP lyase (cyclic FMN forming)) (FMN cyclase)]	TKFC DAK	Homo sapiens (Human)	575
hsa:26007	A0A140VJH7	unreviewed	A0A140VJH7_HUMAN	Triokinase/FMN cyclase (EC 4.6.1.15) (Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing))		Homo sapiens (Human)	575
vg:5176171	Q1HVD2	reviewed	GH_EBVA8	Envelope glycoprotein H (gH)	gH BXLF2	Epstein-Barr virus (strain AG876) (HHV-4) (Human herpesvirus 4)	706
ath:AT1G68010	Q9C9W5	reviewed	HPR1_ARATH	Glycerate dehydrogenase HPR, peroxisomal (GDH) (EC 1.1.1.29) (NADH-dependent hydroxypyruvate reductase 1) (AtHPR1) (HPR 1)	HPR At1g68010 T23K23.14	Arabidopsis thaliana (Mouse-ear cress)	386
ath:AT1G68010	A0A178WM81	unreviewed	A0A178WM81_ARATH	HPR	AXX17_At1g62030	Arabidopsis thaliana (Mouse-ear cress)	386
hsa:57007	P25106	reviewed	ACKR3_HUMAN	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1)	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	Homo sapiens (Human)	362
ccr:CC_0821	Q9A9Z0	reviewed	XDH_CAUVC	D-xylose 1-dehydrogenase (XDH) (EC 1.1.1.175)	xylB CC_0821	Caulobacter vibrioides (strain ATCC 19089 / CB15) (Caulobacter crescentus)	248
stm:STM4074	Q8ZKQ4	reviewed	LSRA_SALTY	Autoinducer 2 import ATP-binding protein LsrA (AI-2 import ATP-binding protein LsrA) (EC 7.6.2.13)	lsrA STM4074	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	511
hsa:847	P04040	reviewed	CATA_HUMAN	Catalase (EC 1.11.1.6)	CAT	Homo sapiens (Human)	527
hsa:847	A0A384P5Q0	unreviewed	A0A384P5Q0_HUMAN	Catalase (EC 1.11.1.6)		Homo sapiens (Human)	527
hsa:645974	Q5JQF8	reviewed	PAP1M_HUMAN	Polyadenylate-binding protein 1-like 2 (RNA-binding motif protein 32) (RNA-binding protein 32)	PABPC1L2A PABPC1L2 RBM32A; PABPC1L2B PABPC1L2 RBM32B	Homo sapiens (Human)	200
hsa:27349	Q8IVS2	reviewed	FABD_HUMAN	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial (MCT) (EC 2.3.1.39) (Mitochondrial malonyl CoA:ACP acyltransferase) (Mitochondrial malonyltransferase) ([Acyl-carrier-protein] malonyltransferase)	MCAT MT	Homo sapiens (Human)	390
vg:944569	Q2F515	unreviewed	Q2F515_HBV	Large envelope protein (L glycoprotein) (L-HBsAg) (LHB) (Large S protein) (Large surface protein) (Major surface antigen)	S	Hepatitis B virus (HBV)	389
hsa:7353	Q92890	reviewed	UFD1_HUMAN	Ubiquitin recognition factor in ER-associated degradation protein 1 (Ubiquitin fusion degradation protein 1) (UB fusion protein 1)	UFD1 UFD1L	Homo sapiens (Human)	307
hsa:7353	Q541A5	unreviewed	Q541A5_HUMAN	Ubiquitin fusion degradation 1 like (Yeast), isoform CRA_b (Ubiquitin fusion degradation 1 protein) (Ubiquitin fusion degradation 1-like)	UFD1L ufd1 hCG_17901	Homo sapiens (Human)	307
hsa:843	Q92851	reviewed	CASPA_HUMAN	Caspase-10 (CASP-10) (EC 3.4.22.63) (Apoptotic protease Mch-4) (FAS-associated death domain protein interleukin-1B-converting enzyme 2) (FLICE2) (ICE-like apoptotic protease 4) [Cleaved into: Caspase-10 subunit p23/17; Caspase-10 subunit p12]	CASP10 MCH4	Homo sapiens (Human)	521
vg:956527	P03485	reviewed	M1_I34A1	Matrix protein 1 (M1)	M	Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)	252
vg:956527	B4UPA8	unreviewed	B4UPA8_I34A1	Matrix protein 1 (M1)	M1 M	Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)	252
vg:956527	H2KIU5	unreviewed	H2KIU5_I34A1	Matrix protein 1 (M1)	M1 M	Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)	252
hsa:51622	P86790	reviewed	CCZ1B_HUMAN	Vacuolar fusion protein CCZ1 homolog B (Vacuolar fusion protein CCZ1 homolog-like)	CCZ1B C7orf28B	Homo sapiens (Human)	482
hsa:51622	P86791	reviewed	CCZ1_HUMAN	Vacuolar fusion protein CCZ1 homolog	CCZ1 C7orf28A CGI-43	Homo sapiens (Human)	482
hsa:84153	Q8TDP1	reviewed	RNH2C_HUMAN	Ribonuclease H2 subunit C (RNase H2 subunit C) (Aicardi-Goutieres syndrome 3 protein) (AGS3) (RNase H1 small subunit) (Ribonuclease HI subunit C)	RNASEH2C AYP1	Homo sapiens (Human)	164
hsa:55284	Q96B02	reviewed	UBE2W_HUMAN	Ubiquitin-conjugating enzyme E2 W (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme W) (N-terminal E2 ubiquitin-conjugating enzyme) (EC 2.3.2.25) (N-terminus-conjugating E2) (Ubiquitin carrier protein W) (Ubiquitin-conjugating enzyme 16) (UBC-16) (Ubiquitin-protein ligase W)	UBE2W UBC16	Homo sapiens (Human)	151
ath:AT2G37040	P35510	reviewed	PAL1_ARATH	Phenylalanine ammonia-lyase 1 (EC 4.3.1.24)	PAL1 At2g37040 T1J8.22	Arabidopsis thaliana (Mouse-ear cress)	725
ath:AT2G37040	A0A178VQX6	unreviewed	A0A178VQX6_ARATH	Phenylalanine ammonia-lyase (EC 4.3.1.24)	AXX17_At2g33820 AN1_LOCUS10162 AT9943_LOCUS8710 C24_LOCUS10009	Arabidopsis thaliana (Mouse-ear cress)	725
